 2019/04/11-09:35	 1727.22	 1732.61	 1726.64	 1728.30	         977516	           	       0.00	  977516.00	           	           	       0.00	       0.00	       0.00	
 2019/04/11-09:40	 1728.07	 1728.44	 1715.08	 1715.08	         633985	           	       0.00	  633985.00	           	           	      -1.05	      -0.21	      -1.69	
 2019/04/11-09:45	 1714.91	 1719.14	 1714.55	 1717.72	         491421	           	       0.00	  491421.00	           	           	      -1.66	      -0.50	      -2.32	
 2019/04/11-09:50	 1717.61	 1722.21	 1713.74	 1722.21	         457844	           	       0.00	  457844.00	           	           	      -1.75	      -0.75	      -2.01	
 2019/04/11-09:55	 1722.33	 1722.33	 1714.04	 1715.54	         359262	           	       0.00	  359262.00	  584005.63	           	      -2.34	      -1.07	      -2.54	
 2019/04/11-10:00	 1715.72	 1721.47	 1713.97	 1717.01	         353836	           	       0.00	  353836.00	  459269.59	           	      -2.66	      -1.39	      -2.54	
 2019/04/11-10:05	 1716.95	 1717.60	 1713.29	 1713.68	         273136	           	       0.00	  273136.00	  387099.81	           	      -3.14	      -1.74	      -2.81	
 2019/04/11-10:10	 1713.63	 1713.69	 1707.19	 1709.34	         331656	           	       0.00	  331656.00	  355146.81	           	      -3.83	      -2.16	      -3.35	
 2019/04/11-10:15	 1709.71	 1709.83	 1703.15	 1703.15	         307294	           	       0.00	  307294.00	  325036.81	           	      -4.82	      -2.69	      -4.26	
 2019/04/11-10:20	 1702.73	 1708.72	 1702.31	 1706.06	         273381	           	       0.00	  273381.00	  307860.59	  445933.09	      -5.31	      -3.21	      -4.19	
 2019/04/11-10:25	 1706.21	 1708.94	 1705.89	 1706.41	         201981	           	       0.00	  201981.00	  277489.59	  368379.59	      -5.60	      -3.69	      -3.82	
 2019/04/11-10:30	 1706.66	 1707.40	 1705.10	 1705.27	         184832	           	       0.00	  184832.00	  259828.80	  323464.31	      -5.86	      -4.12	      -3.47	
 2019/04/11-10:35	 1704.78	 1708.33	 1704.00	 1704.69	         242838	           	       0.00	  242838.00	  242065.20	  298606.00	      -6.04	      -4.51	      -3.07	
 2019/04/11-10:40	 1704.87	 1707.52	 1704.51	 1706.72	         221655	           	       0.00	  221655.00	  224937.41	  274987.09	      -5.95	      -4.80	      -2.31	
 2019/04/11-10:45	 1706.78	 1709.69	 1705.64	 1709.58	         207461	           	       0.00	  207461.00	  211753.41	  259807.00	      -5.59	      -4.95	      -1.26	
 2019/04/11-10:50	 1709.58	 1711.83	 1708.57	 1711.42	         170891	           	       0.00	  170891.00	  205535.41	  241512.50	      -5.09	      -4.98	      -0.22	
 2019/04/11-10:55	 1711.70	 1712.23	 1706.27	 1706.27	         165691	           	       0.00	  165691.00	  201707.20	  230768.00	      -5.05	      -5.00	      -0.12	
 2019/04/11-11:00	 1706.04	 1706.04	 1704.04	 1704.75	         192637	           	       0.00	  192637.00	  191667.00	  216866.09	      -5.09	      -5.01	      -0.15	
 2019/04/11-11:05	 1704.79	 1704.84	 1699.79	 1702.00	         242042	           	       0.00	  242042.00	  195744.41	  210340.91	      -5.28	      -5.07	      -0.42	
 2019/04/11-11:10	 1701.95	 1702.48	 1694.91	 1694.91	         260050	           	       0.00	  260050.00	  206262.20	  209007.80	      -5.93	      -5.24	      -1.38	
 2019/04/11-11:15	 1694.68	 1698.70	 1694.07	 1698.30	         264488	           	       0.00	  264488.00	  224981.59	  215258.50	      -6.11	      -5.41	      -1.38	
 2019/04/11-11:20	 1698.45	 1698.71	 1692.55	 1692.58	         202477	           	       0.00	  202477.00	  232338.80	  217023.00	      -6.63	      -5.66	      -1.94	
 2019/04/11-11:25	 1692.75	 1692.75	 1688.10	 1690.39	         313619	           	       0.00	  313619.00	  256535.20	  224101.09	      -7.14	      -5.95	      -2.37	
 2019/04/11-11:30	 1690.67	 1696.07	 1690.67	 1695.93	         187911	           	       0.00	  187911.00	  245709.00	  220726.70	      -7.01	      -6.16	      -1.70	
